Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
d2vdm,10,2,100,0.805,0.840,0.768,0.790,0.822,2139,570,407,1884
d2vdm,10,2,400,0.808,0.841,0.773,0.793,0.824,2142,558,404,1896
d2vdm,10,2,800,0.808,0.841,0.774,0.794,0.824,2141,554,405,1900
d2vdm,10,3,100,0.807,0.842,0.769,0.791,0.825,2145,566,401,1888
d2vdm,10,3,400,0.810,0.840,0.778,0.797,0.824,2139,544,407,1910
d2vdm,10,3,800,0.810,0.841,0.779,0.798,0.825,2140,543,406,1911
d2vdm,10,5,100,0.801,0.835,0.766,0.787,0.817,2125,574,421,1880
d2vdm,10,5,400,0.810,0.842,0.778,0.797,0.826,2143,545,403,1909
d2vdm,10,5,800,0.812,0.843,0.779,0.798,0.827,2146,542,400,1912
d2vdm,10,7,100,0.803,0.840,0.765,0.788,0.822,2138,576,408,1878
d2vdm,10,7,400,0.808,0.837,0.778,0.796,0.821,2130,545,416,1909
d2vdm,10,7,800,0.809,0.842,0.776,0.796,0.825,2143,550,403,1904
d2vdm,10,10,100,0.801,0.828,0.774,0.792,0.812,2107,554,439,1900
d2vdm,10,10,400,0.812,0.840,0.782,0.800,0.825,2139,535,407,1919
d2vdm,10,10,800,0.811,0.839,0.781,0.799,0.824,2137,538,409,1916
d2vdm,10,13,100,0.807,0.840,0.772,0.793,0.823,2139,559,407,1895
d2vdm,10,13,400,0.810,0.841,0.778,0.797,0.825,2142,544,404,1910
d2vdm,10,13,800,0.811,0.841,0.780,0.799,0.825,2141,540,405,1914
d2vdm,15,2,100,0.809,0.839,0.777,0.796,0.823,2137,547,409,1907
d2vdm,15,2,400,0.817,0.846,0.788,0.805,0.831,2153,521,393,1933
d2vdm,15,2,800,0.815,0.843,0.786,0.804,0.829,2147,524,399,1930
d2vdm,20,2,100,0.805,0.835,0.774,0.793,0.819,2127,554,419,1900
d2vdm,20,2,400,0.813,0.840,0.785,0.802,0.825,2138,527,408,1927
d2vdm,20,2,800,0.816,0.844,0.786,0.804,0.829,2148,524,398,1930
d2vdm,25,2,100,0.806,0.829,0.782,0.798,0.815,2111,535,435,1919
d2vdm,25,2,400,0.816,0.845,0.786,0.804,0.830,2151,524,395,1930
d2vdm,25,2,800,0.818,0.842,0.793,0.808,0.828,2143,509,403,1945
d2vdm,15,3,100,0.804,0.830,0.776,0.794,0.815,2114,550,432,1904
d2vdm,15,3,400,0.814,0.841,0.787,0.804,0.826,2140,523,406,1931
d2vdm,15,3,800,0.816,0.841,0.791,0.807,0.827,2140,513,406,1941
d2vdm,20,3,100,0.806,0.828,0.782,0.798,0.815,2109,535,437,1919
d2vdm,20,3,400,0.815,0.840,0.789,0.805,0.826,2139,519,407,1935
d2vdm,20,3,800,0.817,0.841,0.792,0.808,0.827,2140,510,406,1944
d2vdm,25,3,100,0.807,0.825,0.789,0.802,0.813,2101,519,445,1935
d2vdm,25,3,400,0.817,0.845,0.788,0.805,0.830,2151,520,395,1934
d2vdm,25,3,800,0.815,0.842,0.786,0.803,0.828,2144,525,402,1929
d2vdm,15,5,100,0.806,0.838,0.773,0.793,0.821,2133,557,413,1897
d2vdm,15,5,400,0.813,0.839,0.786,0.803,0.825,2137,525,409,1929
d2vdm,15,5,800,0.814,0.840,0.786,0.803,0.826,2139,524,407,1930
