Model name, kernel, degree, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
tfidf, linear,-1,0.833,0.83503535,0.830888346,0.836678473,0.829198861,2126,415,420,2039
tfidf, rbf,-1,0.8292,0.842890809,0.814995925,0.825384615,0.833333333,2146,454,400,2000
tfidf, poly,2,0.799,0.821288295,0.775876121,0.791745551,0.807121662,2091,550,455,1904
tfidf, poly,-1,0.7282,0.595836606,0.865525672,0.82133189,0.673644148,1517,330,1029,2124
tfidf, sigmoid,-1,0.8304,0.82717989,0.833740831,0.837708831,0.82300885,2106,408,440,2046
tfidf, linear,-1,0.866,0.867242734,0.864710676,0.869291339,0.862601626,2208,332,338,2122
tfidf, rbf,-1,0.8698,0.865671642,0.87408313,0.877039395,0.862484922,2204,309,342,2145
tfidf, poly,2,0.8436,0.842498036,0.844743276,0.849168646,0.837914309,2145,381,401,2073
tfidf, poly,-1,0.779,0.886881383,0.667074165,0.734308943,0.85038961,2258,817,288,1637
tfidf, sigmoid,-1,0.8676,0.867242734,0.86797066,0.872037915,0.863047002,2208,324,338,2130
,,,,,,,,,,,
d2vdm, linear,-1,0.8288,0.872741555,0.783211084,0.806826434,0.855743544,2222,532,324,1922
d2vdm, rbf,-1,0.8294,0.856637863,0.801140994,0.817159985,0.843414843,2181,488,365,1966
d2vdm, poly,2,0.8028,0.830322074,0.774246129,0.792353823,0.814751286,2114,554,432,1900
d2vdm, poly,-1,0.821,0.865671642,0.774653627,0.799419659,0.847525635,2204,553,342,1901
d2vdm, sigmoid,-1,0.8236,0.877847604,0.767318663,0.796507484,0.858249772,2235,571,311,1883
d2vdm, poly,4,0.7946,0.912804399,0.67196414,0.742729306,0.881346873,2324,805,222,1649
,,,,,,,,,,,
d2vdbow, linear,-1,0.8508,0.861351139,0.839853301,0.848027842,0.853769677,2193,393,353,2061
d2vdbow, rbf,-1,0.853,0.876669285,0.828443358,0.841311723,0.866212186,2232,421,314,2033
d2vdbow, poly,2,0.8482,0.855066771,0.841075795,0.848071679,0.848335388,2177,390,369,2064
d2vdbow, poly,-1,0.8284,0.908091123,0.745721271,0.78746594,0.886627907,2312,624,234,1830
d2vdbow, sigmoid,-1,0.8484,0.872741555,0.823145884,0.836596386,0.861774744,2222,434,324,2020
d2vdbow, poly,4,0.7412,0.9564022,0.51792991,0.67302377,0.919681621,2435,1183,111,1271
,,,,,,,,,,,
w2vavg, linear,-1,0.7708,0.776904949,0.764466178,0.773865415,0.767594108,1978,578,568,1876
w2vavg, rbf,-1,0.762,0.766300079,0.757538712,0.766300079,0.757538712,1951,595,595,1859
w2vavg, poly,2,0.762,0.758444619,0.765688672,0.770550678,0.75340818,1931,575,615,1879
w2vavg, poly,-1,0.7648,0.758051846,0.771801141,0.775100402,0.754581673,1930,560,616,1894
w2vavg, sigmoid,-1,0.643,0.664571877,0.620619397,0.645062905,0.640723601,1692,931,854,1523
