Model name, solver, penalty, C, l1_ratio, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
tfidf_1, newton-cg, l2, 1.0, -1, 0.8684, 0.8652788688138257, 0.871638141809291, 0.874900714853058, 0.8618049959709911, 2203, 315, 343, 2139
tfidf_1, newton-cg, l2, 0.1, -1, 0.8322, 0.8118617439120188, 0.8533007334963325, 0.8516687268232386, 0.8138359891177613, 2067, 360, 479, 2094
tfidf_1, newton-cg, l2, 0.01, -1, 0.7984, 0.7717989002356638, 0.8259983700081499, 0.8214882943143813, 0.7772239263803681, 1965, 427, 581, 2027
tfidf_1, newton-cg, l2, 0.001, -1, 0.7906, 0.7588373919874313, 0.8235533822330888, 0.8169133192389006, 0.7669829222011385, 1932, 433, 614, 2021
tfidf_1, lbfgs, l2, 1.0, -1, 0.8684, 0.8652788688138257, 0.871638141809291, 0.874900714853058, 0.8618049959709911, 2203, 315, 343, 2139
tfidf_1, lbfgs, l2, 0.1, -1, 0.8322, 0.8118617439120188, 0.8533007334963325, 0.8516687268232386, 0.8138359891177613, 2067, 360, 479, 2094
tfidf_1, lbfgs, l2, 0.01, -1, 0.7984, 0.7717989002356638, 0.8259983700081499, 0.8214882943143813, 0.7772239263803681, 1965, 427, 581, 2027
tfidf_1, lbfgs, l2, 0.001, -1, 0.7906, 0.7588373919874313, 0.8235533822330888, 0.8169133192389006, 0.7669829222011385, 1932, 433, 614, 2021
tfidf_1, liblinear, l1, 1.0, -1, 0.8398, 0.8205027494108406, 0.8598207008964955, 0.8586107685984381, 0.8219711725749903, 2089, 344, 457, 2110
tfidf_1, liblinear, l1, 0.1, -1, 0.7292, 0.673605655930872, 0.786878565607172, 0.7663092046470062, 0.6991310644460536, 1715, 523, 831, 1931
tfidf_1, liblinear, l1, 0.01, -1, 0.5092, 1.0, 0.0, 0.5092, nan, 2546, 2454, 0, 0
tfidf_1, liblinear, l1, 0.001, -1, 0.5092, 1.0, 0.0, 0.5092, nan, 2546, 2454, 0, 0
tfidf_1, liblinear, l2, 1.0, -1, 0.8684, 0.8652788688138257, 0.871638141809291, 0.874900714853058, 0.8618049959709911, 2203, 315, 343, 2139
tfidf_1, liblinear, l2, 0.1, -1, 0.8324, 0.812254516889238, 0.8533007334963325, 0.8517298187808896, 0.8141524105754276, 2068, 360, 478, 2094
tfidf_1, liblinear, l2, 0.01, -1, 0.802, 0.783974862529458, 0.8207008964955175, 0.819376026272578, 0.7854914196567863, 1996, 440, 550, 2014
tfidf_1, liblinear, l2, 0.001, -1, 0.7946, 0.8322859387274155, 0.7555012224938875, 0.7793306362633321, 0.8128014028934678, 2119, 600, 427, 1854
tfidf_1, sag, l2, 1.0, -1, 0.8684, 0.8652788688138257, 0.871638141809291, 0.874900714853058, 0.8618049959709911, 2203, 315, 343, 2139
tfidf_1, sag, l2, 0.1, -1, 0.8322, 0.8118617439120188, 0.8533007334963325, 0.8516687268232386, 0.8138359891177613, 2067, 360, 479, 2094
tfidf_1, sag, l2, 0.01, -1, 0.7984, 0.7710133542812254, 0.8268133659331703, 0.8220268006700168, 0.7767993874425727, 1963, 425, 583, 2029
tfidf_1, sag, l2, 0.001, -1, 0.7892, 0.7541241162608012, 0.8255908720456397, 0.817717206132879, 0.7639517345399698, 1920, 428, 626, 2026
tfidf_1, saga, l1, 1.0, -1, 0.8396, 0.8197172034564022, 0.8602281988590057, 0.8588477366255144, 0.8214007782101167, 2087, 343, 459, 2111
tfidf_1, saga, l1, 0.1, -1, 0.7264, 0.6602513747054203, 0.7950285248573757, 0.7696886446886447, 0.6928267045454546, 1681, 503, 865, 1951
tfidf_1, saga, l1, 0.01, -1, 0.4908, 0.0, 1.0, nan, 0.4908, 0, 0, 2546, 2454
tfidf_1, saga, l1, 0.001, -1, 0.5092, 1.0, 0.0, 0.5092, nan, 2546, 2454, 0, 0
tfidf_1, saga, l2, 1.0, -1, 0.8688, 0.8660644147682639, 0.871638141809291, 0.875, 0.8625, 2205, 315, 341, 2139
tfidf_1, saga, l2, 0.1, -1, 0.8322, 0.8118617439120188, 0.8533007334963325, 0.8516687268232386, 0.8138359891177613, 2067, 360, 479, 2094
tfidf_1, saga, l2, 0.01, -1, 0.7984, 0.769835035349568, 0.8280358598207009, 0.8228379513014273, 0.7761650114591291, 1960, 422, 586, 2032
tfidf_1, saga, l2, 0.001, -1, 0.7892, 0.753731343283582, 0.8259983700081499, 0.8179880647911338, 0.7637528259231349, 1919, 427, 627, 2027
tfidf_1_2, newton-cg, l2, 1.0, -1, 0.8668, 0.8629222309505106, 0.8708231458842706, 0.8739061256961018, 0.8596138374899437, 2197, 317, 349, 2137
tfidf_1_2, newton-cg, l2, 0.1, -1, 0.8308, 0.8185388845247447, 0.843520782396088, 0.8444084278768234, 0.8175355450236966, 2084, 384, 462, 2070
tfidf_1_2, newton-cg, l2, 0.01, -1, 0.8072, 0.7914375490966221, 0.8235533822330888, 0.8231209150326797, 0.7919278996865203, 2015, 433, 531, 2021
tfidf_1_2, newton-cg, l2, 0.001, -1, 0.8046, 0.7882953652788688, 0.8215158924205379, 0.8208588957055215, 0.7890410958904109, 2007, 438, 539, 2016
tfidf_1_2, lbfgs, l2, 1.0, -1, 0.8668, 0.8629222309505106, 0.8708231458842706, 0.8739061256961018, 0.8596138374899437, 2197, 317, 349, 2137
tfidf_1_2, lbfgs, l2, 0.1, -1, 0.8308, 0.8185388845247447, 0.843520782396088, 0.8444084278768234, 0.8175355450236966, 2084, 384, 462, 2070
tfidf_1_2, lbfgs, l2, 0.01, -1, 0.8072, 0.7914375490966221, 0.8235533822330888, 0.8231209150326797, 0.7919278996865203, 2015, 433, 531, 2021
tfidf_1_2, lbfgs, l2, 0.001, -1, 0.8046, 0.7882953652788688, 0.8215158924205379, 0.8208588957055215, 0.7890410958904109, 2007, 438, 539, 2016
tfidf_1_2, liblinear, l1, 1.0, -1, 0.838, 0.8161822466614297, 0.8606356968215159, 0.8586776859504133, 0.8186046511627907, 2078, 342, 468, 2112
tfidf_1_2, liblinear, l1, 0.1, -1, 0.691, 0.678318931657502, 0.7041564792176039, 0.7040358744394619, 0.6784452296819788, 1727, 726, 819, 1728
tfidf_1_2, liblinear, l1, 0.01, -1, 0.5092, 1.0, 0.0, 0.5092, nan, 2546, 2454, 0, 0
tfidf_1_2, liblinear, l1, 0.001, -1, 0.5092, 1.0, 0.0, 0.5092, nan, 2546, 2454, 0, 0
tfidf_1_2, liblinear, l2, 1.0, -1, 0.8666, 0.8629222309505106, 0.8704156479217604, 0.873558648111332, 0.8595573440643863, 2197, 318, 349, 2136
tfidf_1_2, liblinear, l2, 0.1, -1, 0.8308, 0.8189316575019638, 0.8431132844335778, 0.8441295546558705, 0.8177865612648222, 2085, 385, 461, 2069
tfidf_1_2, liblinear, l2, 0.01, -1, 0.8078, 0.798114689709348, 0.8178484107579462, 0.8196853569987899, 0.7961126537088457, 2032, 447, 514, 2007
tfidf_1_2, liblinear, l2, 0.001, -1, 0.803, 0.8346425765907306, 0.7701711491442543, 0.7902566009669022, 0.8178277801817395, 2125, 564, 421, 1890
tfidf_1_2, sag, l2, 1.0, -1, 0.8668, 0.8629222309505106, 0.8708231458842706, 0.8739061256961018, 0.8596138374899437, 2197, 317, 349, 2137
tfidf_1_2, sag, l2, 0.1, -1, 0.8308, 0.8185388845247447, 0.843520782396088, 0.8444084278768234, 0.8175355450236966, 2084, 384, 462, 2070
tfidf_1_2, sag, l2, 0.01, -1, 0.8074, 0.7918303220738413, 0.8235533822330888, 0.8231931400571662, 0.7922383379067033, 2016, 433, 530, 2021
tfidf_1_2, sag, l2, 0.001, -1, 0.8048, 0.7918303220738413, 0.8182559087204564, 0.8188464662875711, 0.7911741528762806, 2016, 446, 530, 2008
tfidf_1_2, saga, l1, 1.0, -1, 0.838, 0.8157894736842105, 0.8610431947840261, 0.8589743589743589, 0.8183578621223857, 2077, 341, 469, 2113
tfidf_1_2, saga, l1, 0.1, -1, 0.695, 0.657109190887667, 0.7343113284433578, 0.7195698924731183, 0.6736448598130841, 1673, 652, 873, 1802
tfidf_1_2, saga, l1, 0.01, -1, 0.4908, 0.0, 1.0, nan, 0.4908, 0, 0, 2546, 2454
